security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:dhi,aios:issuer:sec:0000882184,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000882184.json
aios:bounded:sp500:dhr,aios:issuer:sec:0000313616,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000313616.json
aios:bounded:sp500:dis,aios:issuer:sec:0001744489,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001744489.json
aios:bounded:sp500:dlr,aios:issuer:sec:0001297996,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001297996.json
aios:bounded:sp500:dltr,aios:issuer:sec:0000935703,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000935703.json
aios:bounded:sp500:dov,aios:issuer:sec:0000029905,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000029905.json
aios:bounded:sp500:dow,aios:issuer:sec:0001751788,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001751788.json
aios:bounded:sp500:dpz,aios:issuer:sec:0001286681,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001286681.json
aios:bounded:sp500:dri,aios:issuer:sec:0000940944,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000940944.json
aios:bounded:sp500:dte,aios:issuer:sec:0000936340,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000936340.json
aios:bounded:sp500:duk,aios:issuer:sec:0001326160,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001326160.json
aios:bounded:sp500:dva,aios:issuer:sec:0000927066,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000927066.json
aios:bounded:sp500:dvn,aios:issuer:sec:0001090012,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001090012.json
aios:bounded:sp500:dxcm,aios:issuer:sec:0001093557,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001093557.json
aios:bounded:sp500:ea,aios:issuer:sec:0000712515,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000712515.json
aios:bounded:sp500:ebay,aios:issuer:sec:0001065088,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001065088.json
aios:bounded:sp500:ecl,aios:issuer:sec:0000031462,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000031462.json
aios:bounded:sp500:ed,aios:issuer:sec:0001047862,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001047862.json
aios:bounded:sp500:efx,aios:issuer:sec:0000033185,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000033185.json
aios:bounded:sp500:eg,aios:issuer:sec:0001095073,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001095073.json
aios:bounded:sp500:eix,aios:issuer:sec:0000827052,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000827052.json
aios:bounded:sp500:el,aios:issuer:sec:0001001250,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001001250.json
aios:bounded:sp500:elv,aios:issuer:sec:0001156039,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001156039.json
aios:bounded:sp500:emn,aios:issuer:sec:0000915389,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000915389.json
aios:bounded:sp500:emr,aios:issuer:sec:0000032604,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000032604.json
