ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
AAPL,aios:bounded:sp500:aapl,aios:issuer:sec:0000320193,0000320193,Apple Inc.,AAPL,2023-08-01,2025-01-01,yfinance,AAPL,358,2023-08-01,2024-12-31,49300740ab29cbe00fe9aa409671e2cf3068d6492df99c45aba57c0cc689a5bc,,15f8866e14e5092b348a35406d580a2d41cf3e132c174add5cd6c837462bc38c,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000320193.json,https://query1.finance.yahoo.com/v8/finance/chart/AAPL
AMZN,aios:bounded:sp500:amzn,aios:issuer:sec:0001018724,0001018724,AMAZON COM INC,AMZN,2023-08-01,2025-01-01,yfinance,AMZN,358,2023-08-01,2024-12-31,978da44c934c938c209cfe2e9f343f66989b405e7607e54e5792e228e37aae02,,31149057914632da14701108d056628de72106fb15559952f736cfadd35cb2dc,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001018724.json,https://query1.finance.yahoo.com/v8/finance/chart/AMZN
BA,aios:bounded:sp500:ba,aios:issuer:sec:0000012927,0000012927,BOEING CO,BA,2023-08-01,2025-01-01,yfinance,BA,358,2023-08-01,2024-12-31,f1da3133cef4f1605826b55055f70e8a6c8484c65f63ff0770b356a351fcceec,,aa380cbc5dd2685473ae195d26a2d7d1598a3d5e184ba91fe70f58223a37669b,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000012927.json,https://query1.finance.yahoo.com/v8/finance/chart/BA
BAC,aios:bounded:sp500:bac,aios:issuer:sec:0000070858,0000070858,BANK OF AMERICA CORP /DE/,BAC,2023-08-01,2025-01-01,yfinance,BAC,358,2023-08-01,2024-12-31,11af9552b85a159cb042ad72528560ff3bd216a0b8464c1c7b68ef16ad39720b,https://data.sec.gov/submissions/CIK0000070858-submissions-008.json,b7d160d142cb6a2b0cd4820109e1927601f2583f9163157d02de6a229a26af73,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000070858.json,https://query1.finance.yahoo.com/v8/finance/chart/BAC
CAT,aios:bounded:sp500:cat,aios:issuer:sec:0000018230,0000018230,CATERPILLAR INC,CAT,2023-08-01,2025-01-01,yfinance,CAT,358,2023-08-01,2024-12-31,b45e0457b8144ec8e14c023b5eb3f80e96c08c56f0532aefbe3bc29e3b24f1b7,,e108dfccf3ac14ddcee684b4cd1020616f86f647896cc2191b8c980296ec3d2d,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000018230.json,https://query1.finance.yahoo.com/v8/finance/chart/CAT
CDW,aios:bounded:sp500:cdw,aios:issuer:sec:0001402057,0001402057,CDW Corp,CDW,2023-08-01,2025-01-01,yfinance,CDW,358,2023-08-01,2024-12-31,af7d678c0d4d2e012c51e998144ae745b1ba99e2fc553775f5f8196c36c01583,,dd0b72b08aacb0dc80627e8c7f33e87269e59f91599bea0f0408bd78b5cb3ec7,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001402057.json,https://query1.finance.yahoo.com/v8/finance/chart/CDW
CE,aios:bounded:sp500:ce,aios:issuer:sec:0001306830,0001306830,Celanese Corp,CE,2023-08-01,2025-01-01,yfinance,CE,358,2023-08-01,2024-12-31,c1bca2bbcbf205acf6588e0b4c371a4cce8457773a164d83047537538bae3442,,f72db95fb87f432dfecc15e5636f340ee9aa8ac545a76497b50e9e0f1739024e,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001306830.json,https://query1.finance.yahoo.com/v8/finance/chart/CE
CEG,aios:bounded:sp500:ceg,aios:issuer:sec:0001868275,0001868275,Constellation Energy Corp,CEG,2023-08-01,2025-01-01,yfinance,CEG,358,2023-08-01,2024-12-31,bd5b4d37a9d2c078e07875650e6c25c72393539f996abfa652b6cf767c2fdef2,,54913bfaa330452f33cf26324b101ad7f5f729440f7ac4684e5f2add70608ef2,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001868275.json,https://query1.finance.yahoo.com/v8/finance/chart/CEG
CF,aios:bounded:sp500:cf,aios:issuer:sec:0001324404,0001324404,"CF Industries Holdings, Inc.",CF,2023-08-01,2025-01-01,yfinance,CF,358,2023-08-01,2024-12-31,793049ca17fd88c8163e02dc742c821ec3750892ff65c7f910dfae34ed50be05,,5a6d6a8279cf468c1f8141bae2a61ed4605b7dc5a1fac87e2102bbbfb73a7496,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001324404.json,https://query1.finance.yahoo.com/v8/finance/chart/CF
CFG,aios:bounded:sp500:cfg,aios:issuer:sec:0000759944,0000759944,CITIZENS FINANCIAL GROUP INC/RI,CFG,2023-08-01,2025-01-01,yfinance,CFG,358,2023-08-01,2024-12-31,39836acd7e9fa71792a48ba362b702155129615a76fa352d552a1a4f035802e0,,6c26cdbac3c8bc13086d2d8e7cbf225b1fa5e4eb6d3204b96ce81fcc2351ebce,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000759944.json,https://query1.finance.yahoo.com/v8/finance/chart/CFG
