ticker,security_id,issuer_id,cik,sec_name,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
A,aios:bounded:sp500:a,aios:issuer:sec:0001090872,0001090872,"AGILENT TECHNOLOGIES, INC.",2023-08-01,2025-01-01,yfinance,A,358,2023-08-01,2024-12-31,faa1a5d03ac1e9a3a75f4b64c818e95dfd9f8387e723c925922dca59bd3107e2,58a2ece88a3dbf368d2f63b8291f9bc08852f303876be433664a785a4d62bbf3,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001090872.json,https://query1.finance.yahoo.com/v8/finance/chart/A
ACGL,aios:bounded:sp500:acgl,aios:issuer:sec:0000947484,0000947484,ARCH CAPITAL GROUP LTD.,2023-08-01,2025-01-01,yfinance,ACGL,358,2023-08-01,2024-12-31,0f407e4f27b162bb00888f2774a335d3bcdea2ae8ff2609a7f4516ee2259424c,e9b1581ff84e2b51be86cc4c913905a235a6dfc7726e8de144a0ef26d81b07a2,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000947484.json,https://query1.finance.yahoo.com/v8/finance/chart/ACGL
AFL,aios:bounded:sp500:afl,aios:issuer:sec:0000004977,0000004977,AFLAC INC,2023-08-01,2025-01-01,yfinance,AFL,358,2023-08-01,2024-12-31,bdb5ccee89a8bb25dbc328504244a034ace261188a8360cf181adaca33e8c0bf,14e764b841a28a826fea6df4cee5080d4f38ce2ad0d64dabdb6dd3b47aff7ad0,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000004977.json,https://query1.finance.yahoo.com/v8/finance/chart/AFL
AIG,aios:bounded:sp500:aig,aios:issuer:sec:0000005272,0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",2023-08-01,2025-01-01,yfinance,AIG,358,2023-08-01,2024-12-31,305bb3fa63ed7cbba5432bce7c8075d74a80b555887fd2ceac18fc8b7bd39494,d014c54e6233cf1cdd223fae89efd3f89f3ada3a08b3b57faa76323836bdd8c5,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000005272.json,https://query1.finance.yahoo.com/v8/finance/chart/AIG
AIZ,aios:bounded:sp500:aiz,aios:issuer:sec:0001267238,0001267238,"ASSURANT, INC.",2023-08-01,2025-01-01,yfinance,AIZ,358,2023-08-01,2024-12-31,305eddce6cd19df18a13458d0e26e2d27f9b352f11a664d677b1fe21df55a1cf,e116dbcf8c899d2933469489e11fc818524b2be31487f1db1a662886113f045b,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001267238.json,https://query1.finance.yahoo.com/v8/finance/chart/AIZ
AJG,aios:bounded:sp500:ajg,aios:issuer:sec:0000354190,0000354190,Arthur J. Gallagher & Co.,2023-08-01,2025-01-01,yfinance,AJG,358,2023-08-01,2024-12-31,96dccf38dc555cb769303c1ed5bb3a4941c8518af12b9d558f715d15736d2bfa,16e7d7a6ebbcb68b301ce2d32b6fb90cefef7c7067ca6ab935c443a86ada2705,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000354190.json,https://query1.finance.yahoo.com/v8/finance/chart/AJG
ALL,aios:bounded:sp500:all,aios:issuer:sec:0000899051,0000899051,ALLSTATE CORP,2023-08-01,2025-01-01,yfinance,ALL,358,2023-08-01,2024-12-31,ca44ecacea985fc7300e080a0063f6e5ce4621161686f70299920f1884c7cf90,596bbeaa68191941250b37c3c25b31baa73afc9da042fef848d9f122f69b7c15,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000899051.json,https://query1.finance.yahoo.com/v8/finance/chart/ALL
AMCR,aios:bounded:sp500:amcr,aios:issuer:sec:0001748790,0001748790,Amcor plc,2023-08-01,2025-01-01,yfinance,AMCR,358,2023-08-01,2024-12-31,3535de5dbda505f155f7450581c55ac7055259f1d902e800d3caf305b7441636,917c917d7305a89827e0a10b2758816ca0262e786fb911529c111dd61e06eb23,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001748790.json,https://query1.finance.yahoo.com/v8/finance/chart/AMCR
AMP,aios:bounded:sp500:amp,aios:issuer:sec:0000820027,0000820027,AMERIPRISE FINANCIAL INC,2023-08-01,2025-01-01,yfinance,AMP,358,2023-08-01,2024-12-31,e8581363fcac6de4fd1bb0676724861b4f7f2c47da711439cc0ce19f7605c7f9,6c3cb78f247adaef7bfae3fa77a16d6d6424fee2724328c40d4f9785930d4194,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000820027.json,https://query1.finance.yahoo.com/v8/finance/chart/AMP
ANSS,aios:bounded:sp500:anss,,,,2023-08-01,2025-01-01,yfinance,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-17,,
AON,aios:bounded:sp500:aon,aios:issuer:sec:0000315293,0000315293,Aon plc,2023-08-01,2025-01-01,yfinance,AON,358,2023-08-01,2024-12-31,80a837370330a066c599c64f58c2ba122e8a5578fc55d8359b6a9bfcf74e01fd,90acedaee01d2d88ff39bce32f27d5565021b9d67cca1942d8e5b00e3cce4eae,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000315293.json,https://query1.finance.yahoo.com/v8/finance/chart/AON
APA,aios:bounded:sp500:apa,aios:issuer:sec:0001841666,0001841666,APA Corp,2023-08-01,2025-01-01,yfinance,APA,358,2023-08-01,2024-12-31,a47bcc9e4d2ff3cbcc4f1ec5d0c14e33154a3e341650c4d528289ec40a728151,b8c1ae11812f2c43b31962700d74a669ca34453dcdcb74f8b73a48414713f371,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001841666.json,https://query1.finance.yahoo.com/v8/finance/chart/APA
APTV,aios:bounded:sp500:aptv,aios:issuer:sec:0001521332,0001521332,Aptiv PLC,2023-08-01,2025-01-01,yfinance,APTV,358,2023-08-01,2024-12-31,8513cf3be208e976df9ed07fc99bc202c534f58818c9d7b1dc6174e1b6ee1d9a,eac86c51d2b3749521f01d7bda43c0730a69cd4962f9f29c62a3715fbcc8011f,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001521332.json,https://query1.finance.yahoo.com/v8/finance/chart/APTV
ARE,aios:bounded:sp500:are,aios:issuer:sec:0001035443,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2023-08-01,2025-01-01,yfinance,ARE,358,2023-08-01,2024-12-31,8407229e5a17eff8105ca797d4b932a241061f5dad2b84a37715b12bbe229211,b62bf6627c203699b5e3aa3a352a13bfe2a25d3a553e68a1de7ed6c69d2bbc46,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001035443.json,https://query1.finance.yahoo.com/v8/finance/chart/ARE
