ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
PRU,aios:bounded:sp500:pru,aios:issuer:sec:0001137774,0001137774,PRUDENTIAL FINANCIAL INC,PRU,2023-08-01,2025-01-01,yfinance,PRU,358,2023-08-01,2024-12-31,9c7304a0aaf54a064645b67f552f2d464a7020f04b09d02e53680a1512863206,,032e26cc2fd964dfd1caef981efa09a90532be9f6b0d911c5b8ad836e169991d,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001137774.json,https://query1.finance.yahoo.com/v8/finance/chart/PRU
PSA,aios:bounded:sp500:psa,aios:issuer:sec:0001393311,0001393311,Public Storage,PSA,2023-08-01,2025-01-01,yfinance,PSA,358,2023-08-01,2024-12-31,b20e72d7f223b1ec38b7372c2df94e1502c6cf8421f8315b752185dea26b3d90,,5fdec4df288adf6691d5e861d4c64ba595b2b7dcafa1170c9f6498f4ab4bd6ef,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001393311.json,https://query1.finance.yahoo.com/v8/finance/chart/PSA
PSX,aios:bounded:sp500:psx,aios:issuer:sec:0001534701,0001534701,Phillips 66,PSX,2023-08-01,2025-01-01,yfinance,PSX,358,2023-08-01,2024-12-31,9eed9200d4c414e17a938d4287202320501e421ac0aa76bc41cd3ebc676bb80a,,32e3ef5f0373200d33da82344263dbdaf783dd2a8d31d7a5e495cc89798073c2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001534701.json,https://query1.finance.yahoo.com/v8/finance/chart/PSX
PTC,aios:bounded:sp500:ptc,aios:issuer:sec:0000857005,0000857005,PTC INC.,PTC,2023-08-01,2025-01-01,yfinance,PTC,358,2023-08-01,2024-12-31,d798421a63046d06e6307af08ea217f6f9a6d14e6f319c97fcaeb1c95e13cae1,,0dc34d44eba80cb210f08b8c7892cd5f758a403d74735c73f28a86c75300a732,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000857005.json,https://query1.finance.yahoo.com/v8/finance/chart/PTC
PWR,aios:bounded:sp500:pwr,aios:issuer:sec:0001050915,0001050915,"QUANTA SERVICES, INC.",PWR,2023-08-01,2025-01-01,yfinance,PWR,358,2023-08-01,2024-12-31,2ff5ed16ea5d3b4c693f351ff7dda98016c81e096afb9e3dec16315cf5925af9,,51f922328f294fb2352d5c675d66dda035955170ab97cafad97ba5a398cc7b1a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001050915.json,https://query1.finance.yahoo.com/v8/finance/chart/PWR
PYPL,aios:bounded:sp500:pypl,aios:issuer:sec:0001633917,0001633917,"PayPal Holdings, Inc.",PYPL,2023-08-01,2025-01-01,yfinance,PYPL,358,2023-08-01,2024-12-31,f8b2a4cab00cd9cb6082306ba0fa1632b89e6e3bec919890715298109cd68c05,,bf05a6ab5787a90bb519171ea4ae6dae940d58e923a9946151ab276d73821dba,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001633917.json,https://query1.finance.yahoo.com/v8/finance/chart/PYPL
QCOM,aios:bounded:sp500:qcom,aios:issuer:sec:0000804328,0000804328,QUALCOMM INC/DE,QCOM,2023-08-01,2025-01-01,yfinance,QCOM,358,2023-08-01,2024-12-31,680121fd473d178c127a312574890c77237e7dcb8f5bf9bbf9dbad36d219d353,,7826d196db87dced1f1708e28b8108a5e103a6f0e2820886c0f0517bf218144a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000804328.json,https://query1.finance.yahoo.com/v8/finance/chart/QCOM
RCL,aios:bounded:sp500:rcl,aios:issuer:sec:0000884887,0000884887,ROYAL CARIBBEAN CRUISES LTD,RCL,2023-08-01,2025-01-01,yfinance,RCL,358,2023-08-01,2024-12-31,a0a88b3ec5ba2ec72d7516972d15900ae9fafa7a4f6a238c3467b43bda1288ab,,5c04cb9051f78ef459d470771eca5eb0164f3a0d7decfda5356e8463cbfd3d3f,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000884887.json,https://query1.finance.yahoo.com/v8/finance/chart/RCL
REG,aios:bounded:sp500:reg,aios:issuer:sec:0000910606,0000910606,REGENCY CENTERS CORP,REG,2023-08-01,2025-01-01,yfinance,REG,358,2023-08-01,2024-12-31,05f3f3be760202e0a5acc6ed24d03366d59d63ab8bef06d612f0b96336b03b69,,b17035c8ae5920cef51e425180aa7cebf6e10a5d66736e6ed51fefc935c33d29,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000910606.json,https://query1.finance.yahoo.com/v8/finance/chart/REG
REGN,aios:bounded:sp500:regn,aios:issuer:sec:0000872589,0000872589,"REGENERON PHARMACEUTICALS, INC.",REGN,2023-08-01,2025-01-01,yfinance,REGN,358,2023-08-01,2024-12-31,b8cc946abb4ee756d9e51c9d1c921e962454b03789d5d7021e835e54e23f12fa,,20e8f42fb231ad902a1bc1250dc581e922bd70a5771da8700e59741f0c65e1ee,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000872589.json,https://query1.finance.yahoo.com/v8/finance/chart/REGN
RF,aios:bounded:sp500:rf,aios:issuer:sec:0001281761,0001281761,REGIONS FINANCIAL CORP,RF,2023-08-01,2025-01-01,yfinance,RF,358,2023-08-01,2024-12-31,4f434400edb949f949ec91b1bc1f2fcf764e23d951dcb2136c3b6128e799ef95,,1d43ccc3602c501a596319d8875dd4130faa23994fb35125a94bbdac86e6fc51,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001281761.json,https://query1.finance.yahoo.com/v8/finance/chart/RF
RJF,aios:bounded:sp500:rjf,aios:issuer:sec:0000720005,0000720005,RAYMOND JAMES FINANCIAL INC,RJF,2023-08-01,2025-01-01,yfinance,RJF,358,2023-08-01,2024-12-31,a35cc71efc81ea2cf9ef3c8da5d64442a623038e6e079cb37914d7becab5cc6c,,080ba22e6a20a1dec90224e7304f4d115f51bcbf5d84d8f724d4f13a5530780a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000720005.json,https://query1.finance.yahoo.com/v8/finance/chart/RJF
