provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,TSLA,aios:bounded:sp500:tsla,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TSLA
yfinance,TSN,aios:bounded:sp500:tsn,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TSN
yfinance,TT,aios:bounded:sp500:tt,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TT
yfinance,TTWO,aios:bounded:sp500:ttwo,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TTWO
yfinance,TXN,aios:bounded:sp500:txn,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TXN
yfinance,TXT,aios:bounded:sp500:txt,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TXT
yfinance,TYL,aios:bounded:sp500:tyl,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/TYL
yfinance,UAL,aios:bounded:sp500:ual,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UAL
yfinance,UDR,aios:bounded:sp500:udr,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UDR
yfinance,UHS,aios:bounded:sp500:uhs,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UHS
yfinance,ULTA,aios:bounded:sp500:ulta,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/ULTA
yfinance,UNH,aios:bounded:sp500:unh,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UNH
yfinance,UNP,aios:bounded:sp500:unp,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UNP
yfinance,UPS,aios:bounded:sp500:ups,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/UPS
yfinance,URI,aios:bounded:sp500:uri,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/URI
yfinance,USB,aios:bounded:sp500:usb,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/USB
yfinance,V,aios:bounded:sp500:v,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/V
yfinance,VICI,aios:bounded:sp500:vici,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VICI
yfinance,VLO,aios:bounded:sp500:vlo,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VLO
yfinance,VMC,aios:bounded:sp500:vmc,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VMC
yfinance,VRSK,aios:bounded:sp500:vrsk,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VRSK
yfinance,VRSN,aios:bounded:sp500:vrsn,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VRSN
yfinance,VRTX,aios:bounded:sp500:vrtx,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VRTX
yfinance,VTR,aios:bounded:sp500:vtr,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VTR
yfinance,VTRS,aios:bounded:sp500:vtrs,2023-08-01,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/VTRS
