provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,ABBV,aios:bounded:sp500:abbv,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ABBV
yfinance,ABT,aios:bounded:sp500:abt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ABT
yfinance,ACN,aios:bounded:sp500:acn,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ACN
yfinance,ADBE,aios:bounded:sp500:adbe,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ADBE
yfinance,ADI,aios:bounded:sp500:adi,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ADI
yfinance,ADM,aios:bounded:sp500:adm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ADM
yfinance,ADP,aios:bounded:sp500:adp,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ADP
yfinance,ADSK,aios:bounded:sp500:adsk,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ADSK
yfinance,AEE,aios:bounded:sp500:aee,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AEE
yfinance,AEP,aios:bounded:sp500:aep,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AEP
yfinance,AES,aios:bounded:sp500:aes,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AES
yfinance,AKAM,aios:bounded:sp500:akam,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AKAM
yfinance,ALB,aios:bounded:sp500:alb,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ALB
yfinance,ALGN,aios:bounded:sp500:algn,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ALGN
yfinance,ALLE,aios:bounded:sp500:alle,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ALLE
yfinance,AMAT,aios:bounded:sp500:amat,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AMAT
yfinance,AMD,aios:bounded:sp500:amd,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AMD
yfinance,AME,aios:bounded:sp500:ame,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AME
yfinance,AMGN,aios:bounded:sp500:amgn,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AMGN
yfinance,AMT,aios:bounded:sp500:amt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AMT
yfinance,ANET,aios:bounded:sp500:anet,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ANET
yfinance,AOS,aios:bounded:sp500:aos,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AOS
yfinance,APD,aios:bounded:sp500:apd,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/APD
yfinance,APH,aios:bounded:sp500:aph,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/APH
yfinance,AWK,aios:bounded:sp500:awk,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/AWK
