security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:ben,aios:issuer:sec:0000038777,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000038777.json
aios:bounded:sp500:biib,aios:issuer:sec:0000875045,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000875045.json
aios:bounded:sp500:bkng,aios:issuer:sec:0001075531,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001075531.json
aios:bounded:sp500:bkr,aios:issuer:sec:0001701605,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001701605.json
aios:bounded:sp500:bmy,aios:issuer:sec:0000014272,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000014272.json
aios:bounded:sp500:br,aios:issuer:sec:0001383312,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001383312.json
aios:bounded:sp500:bro,aios:issuer:sec:0000079282,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000079282.json
aios:bounded:sp500:bsx,aios:issuer:sec:0000885725,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000885725.json
aios:bounded:sp500:bwa,aios:issuer:sec:0000908255,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000908255.json
aios:bounded:sp500:bxp,aios:issuer:sec:0001037540,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001037540.json
aios:bounded:sp500:cag,aios:issuer:sec:0000023217,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000023217.json
aios:bounded:sp500:cah,aios:issuer:sec:0000721371,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000721371.json
aios:bounded:sp500:carr,aios:issuer:sec:0001783180,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001783180.json
aios:bounded:sp500:cb,aios:issuer:sec:0000896159,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000896159.json
aios:bounded:sp500:cboe,aios:issuer:sec:0001374310,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001374310.json
aios:bounded:sp500:cbre,aios:issuer:sec:0001138118,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001138118.json
aios:bounded:sp500:cci,aios:issuer:sec:0001051470,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001051470.json
aios:bounded:sp500:ccl,aios:issuer:sec:0000815097,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000815097.json
aios:bounded:sp500:cdns,aios:issuer:sec:0000813672,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000813672.json
