ticker,start,end
GD,2025-01-01,2026-07-22
GDDY,2025-01-01,2026-07-22
GE,2025-01-01,2026-07-22
GEHC,2025-01-01,2026-07-22
GEN,2025-01-01,2026-07-22
GEV,2025-01-01,2026-07-22
GILD,2025-01-01,2026-07-22
GIS,2025-01-01,2026-07-22
GL,2025-01-01,2026-07-22
GLW,2025-01-01,2026-07-22
GM,2025-01-01,2026-07-22
GNRC,2025-01-01,2026-07-22
GOOG,2025-01-01,2026-07-22
GOOGL,2025-01-01,2026-07-22
GPC,2025-01-01,2026-07-22
GPN,2025-01-01,2026-07-22
GRMN,2025-01-01,2026-07-22
GS,2025-01-01,2026-07-22
GWW,2025-01-01,2026-07-22
HAL,2025-01-01,2026-07-22
HAS,2025-01-01,2026-07-22
HBAN,2025-01-01,2026-07-22
HCA,2025-01-01,2026-07-22
HD,2025-01-01,2026-07-22
HIG,2025-01-01,2026-07-22
