issuer_id,canonical_name,canonical_ticker,cik,effective_start,effective_end,verified_date,source
aios:issuer:sec:0001463101,"Enphase Energy, Inc.",ENPH,0001463101,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001463101.json
aios:issuer:sec:0000821189,EOG RESOURCES INC,EOG,0000821189,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000821189.json
aios:issuer:sec:0001352010,"EPAM Systems, Inc.",EPAM,0001352010,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001352010.json
aios:issuer:sec:0001101239,EQUINIX INC,EQIX,0001101239,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001101239.json
aios:issuer:sec:0000906107,EQUITY RESIDENTIAL,EQR,0000906107,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000906107.json
aios:issuer:sec:0000033213,EQT Corp,EQT,0000033213,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000033213.json
aios:issuer:sec:0000072741,EVERSOURCE ENERGY,ES,0000072741,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000072741.json
aios:issuer:sec:0000920522,"ESSEX PROPERTY TRUST, INC.",ESS,0000920522,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000920522.json
aios:issuer:sec:0001551182,Eaton Corp plc,ETN,0001551182,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001551182.json
aios:issuer:sec:0000065984,ENTERGY CORP /DE/,ETR,0000065984,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000065984.json
aios:issuer:sec:0001711269,"Evergy, Inc.",EVRG,0001711269,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001711269.json
aios:issuer:sec:0001099800,Edwards Lifesciences Corp,EW,0001099800,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001099800.json
aios:issuer:sec:0001109357,EXELON CORP,EXC,0001109357,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001109357.json
aios:issuer:sec:0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,0000746515,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000746515.json
aios:issuer:sec:0001324424,"Expedia Group, Inc.",EXPE,0001324424,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001324424.json
aios:issuer:sec:0001289490,Extra Space Storage Inc.,EXR,0001289490,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001289490.json
aios:issuer:sec:0000037996,FORD MOTOR CO,F,0000037996,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000037996.json
aios:issuer:sec:0001539838,"Diamondback Energy, Inc.",FANG,0001539838,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001539838.json
aios:issuer:sec:0000815556,FASTENAL CO,FAST,0000815556,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000815556.json
aios:issuer:sec:0000831259,FREEPORT-MCMORAN INC,FCX,0000831259,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000831259.json
aios:issuer:sec:0001013237,FACTSET RESEARCH SYSTEMS INC,FDS,0001013237,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001013237.json
aios:issuer:sec:0001048911,FEDEX CORP,FDX,0001048911,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001048911.json
aios:issuer:sec:0001031296,FIRSTENERGY CORP,FE,0001031296,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001031296.json
aios:issuer:sec:0001048695,"F5, INC.",FFIV,0001048695,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001048695.json
