provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,ENPH,aios:bounded:sp500:enph,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ENPH
yfinance,EOG,aios:bounded:sp500:eog,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EOG
yfinance,EPAM,aios:bounded:sp500:epam,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EPAM
yfinance,EQIX,aios:bounded:sp500:eqix,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EQIX
yfinance,EQR,aios:bounded:sp500:eqr,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EQR
yfinance,EQT,aios:bounded:sp500:eqt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EQT
yfinance,ES,aios:bounded:sp500:es,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ES
yfinance,ESS,aios:bounded:sp500:ess,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ESS
yfinance,ETN,aios:bounded:sp500:etn,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ETN
yfinance,ETR,aios:bounded:sp500:etr,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ETR
yfinance,EVRG,aios:bounded:sp500:evrg,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EVRG
yfinance,EW,aios:bounded:sp500:ew,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EW
yfinance,EXC,aios:bounded:sp500:exc,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EXC
yfinance,EXPD,aios:bounded:sp500:expd,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EXPD
yfinance,EXPE,aios:bounded:sp500:expe,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EXPE
yfinance,EXR,aios:bounded:sp500:exr,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/EXR
yfinance,F,aios:bounded:sp500:f,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/F
yfinance,FANG,aios:bounded:sp500:fang,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FANG
yfinance,FAST,aios:bounded:sp500:fast,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FAST
yfinance,FCX,aios:bounded:sp500:fcx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FCX
yfinance,FDS,aios:bounded:sp500:fds,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FDS
yfinance,FDX,aios:bounded:sp500:fdx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FDX
yfinance,FE,aios:bounded:sp500:fe,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FE
yfinance,FFIV,aios:bounded:sp500:ffiv,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/FFIV
