universe_id,index_name,ticker,effective_date,action,known_date,source,source_kind
sp500,S&P 500,CTRA,2026-05-07,Deletion,2026-04-30,https://press.spglobal.com/2026-04-30-Veeva-Systems-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,BNY,2026-05-21,Addition,2026-05-11,https://www.bny.com/corporate/global/en/about-us/newsroom/press-release/bny-announces-planned-change-of-stock-ticker-symbol-to-bny-130465.html,issuer_announcement
sp500,S&P 500,BK,2026-05-21,Deletion,2026-05-11,https://www.bny.com/corporate/global/en/about-us/newsroom/press-release/bny-announces-planned-change-of-stock-ticker-symbol-to-bny-130465.html,issuer_announcement
sp500,S&P 500,FDXF,2026-06-01,Addition,2026-05-27,https://press.spglobal.com/2026-05-27-FedEx-Freight-Holding-Company-Set-to-Join-S-P-500-EPAM-Systems-and-Dave-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,EPAM,2026-06-02,Deletion,2026-05-27,https://press.spglobal.com/2026-05-27-FedEx-Freight-Holding-Company-Set-to-Join-S-P-500-EPAM-Systems-and-Dave-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,MRVL,2026-06-22,Addition,2026-06-05,https://press.spglobal.com/2026-06-05-Marvell-Technology-and-Flex-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,FLEX,2026-06-22,Addition,2026-06-05,https://press.spglobal.com/2026-06-05-Marvell-Technology-and-Flex-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,POOL,2026-06-22,Deletion,2026-06-05,https://press.spglobal.com/2026-06-05-Marvell-Technology-and-Flex-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,CPB,2026-06-22,Deletion,2026-06-05,https://press.spglobal.com/2026-06-05-Marvell-Technology-and-Flex-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,ECHO,2026-06-24,Addition,2026-06-22,https://ir.echostar.com/news-releases/news-release-details/echostar-changing-stocker-ticker-sats-echo-marking-companys-next,issuer_announcement
sp500,S&P 500,SATS,2026-06-24,Deletion,2026-06-22,https://ir.echostar.com/news-releases/news-release-details/echostar-changing-stocker-ticker-sats-echo-marking-companys-next,issuer_announcement
sp500,S&P 500,HONA,2026-06-29,Addition,2026-06-23,https://press.spglobal.com/2026-06-23-Honeywell-Aerospace-Set-to-Join-S-P-500-S-P-100-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,CAG,2026-06-30,Deletion,2026-06-23,https://press.spglobal.com/2026-06-23-Honeywell-Aerospace-Set-to-Join-S-P-500-S-P-100-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
