ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
DAY,aios:security:dayforce-common,,,,,2024-02-01,2025-01-01,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
DECK,aios:bounded:sp500:deck,aios:issuer:sec:0000910521,0000910521,DECKERS OUTDOOR CORP,DECK,2024-03-18,2025-01-01,yfinance,DECK,200,2024-03-18,2024-12-31,e69c6f7a57103c1ced77205045fca780a8ccc706084f29c1c735e9683bbe68d3,,95d345359c023e188cc7e72ad5db377843f36d740e8a534d22ea09929c1a4c20,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000910521.json,https://query1.finance.yahoo.com/v8/finance/chart/DECK
DELL,aios:bounded:sp500:dell,aios:issuer:sec:0001571996,0001571996,Dell Technologies Inc.,DELL,2024-09-23,2025-01-01,yfinance,DELL,70,2024-09-23,2024-12-31,a55ab863eff2e71336fcfb5c1d5d2657bd62425406a530d2366c15bda3954705,,0d4d6d2d1fca98602c69ac4609f115d05c6c4012b006a16ecfdfee952e242ab2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001571996.json,https://query1.finance.yahoo.com/v8/finance/chart/DELL
DXC,aios:bounded:sp500:dxc,aios:issuer:sec:0001688568,0001688568,DXC Technology Co,DXC,2023-08-01,2023-10-03,yfinance,DXC,44,2023-08-01,2023-10-02,0145d200e5537aff00e4964db7222872f3e1bbff7a5bf5c626bb51ee766cebb4,,439f656163e9630c73a76868f1129a39fe69b6911717e1d3c08a41e32153b76e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001688568.json,https://query1.finance.yahoo.com/v8/finance/chart/DXC
ERIE,aios:bounded:sp500:erie,aios:issuer:sec:0000922621,0000922621,ERIE INDEMNITY CO,ERIE,2024-09-23,2025-01-01,yfinance,ERIE,70,2024-09-23,2024-12-31,8a386af17c0b42841da0d97b0a52c2afca37761f84c15a26322ac76af158f298,,9c942fc78a068dc10fdcf11ff616be11e8b02b8b2ad47f874077e3d3ee4f39f2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000922621.json,https://query1.finance.yahoo.com/v8/finance/chart/ERIE
ETSY,aios:bounded:sp500:etsy,aios:issuer:sec:0001370637,0001370637,ETSY INC,ETSY,2023-08-01,2024-09-23,yfinance,ETSY,288,2023-08-01,2024-09-20,00657a943bfda407b8acb6d2ecb8c651ae7faf20b628cabc0f5c6a6373488e8e,,c45977e7d3dc7db588dc102224facfde15732fc2cedb7cd720c9dfac6580bdcc,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001370637.json,https://query1.finance.yahoo.com/v8/finance/chart/ETSY
GDDY,aios:bounded:sp500:gddy,aios:issuer:sec:0001609711,0001609711,GoDaddy Inc.,GDDY,2024-06-24,2025-01-01,yfinance,GDDY,133,2024-06-24,2024-12-31,1c93420a194c7d9f05f7b321b9e4ba4174f7cac893e82138b015e341acaa2511,,7df948d5f9a0d27286c946f8a69136e9b24a97480b116e3a79f3ff07a374bcc5,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001609711.json,https://query1.finance.yahoo.com/v8/finance/chart/GDDY
GEV,aios:bounded:sp500:gev,aios:issuer:sec:0001996810,0001996810,GE Vernova Inc.,GEV,2024-04-02,2025-01-01,yfinance,GEV,190,2024-04-02,2024-12-31,fde88b6eff444f7170f053293eb757c29f54490a3d7db9a5da7cc6159cac86c8,,25fd29b68dda5a4b45e7de0dc80f57b39a8360286c7547def18f04adb88c34cd,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001996810.json,https://query1.finance.yahoo.com/v8/finance/chart/GEV
HUBB,aios:bounded:sp500:hubb,aios:issuer:sec:0000048898,0000048898,HUBBELL INC,HUBB,2023-10-18,2025-01-01,yfinance,HUBB,303,2023-10-18,2024-12-31,0333d19424b688fe4c78ca2335e9b5b5107996654a1669cbfd9fcd1b356ccd87,,f999ff4757f11276a2163135781b0b38bb10f854c49c8f3c3a08a0def50b6cb4,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000048898.json,https://query1.finance.yahoo.com/v8/finance/chart/HUBB
ILMN,aios:bounded:sp500:ilmn,aios:issuer:sec:0001110803,0001110803,"ILLUMINA, INC.",ILMN,2023-08-01,2024-06-24,yfinance,ILMN,225,2023-08-01,2024-06-21,8ecdd51425d130289e3b8da86f0cf61143243d6d0e248866e994aefdd71aee66,,9d6f516ccd369eb7d598c7268a3c5e341e01a795d18e4428f09d0e7aaf7201a2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001110803.json,https://query1.finance.yahoo.com/v8/finance/chart/ILMN
