provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,GS,aios:bounded:sp500:gs,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/GS
yfinance,GWW,aios:bounded:sp500:gww,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/GWW
yfinance,HAL,aios:bounded:sp500:hal,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HAL
yfinance,HAS,aios:bounded:sp500:has,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HAS
yfinance,HBAN,aios:bounded:sp500:hban,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HBAN
yfinance,HCA,aios:bounded:sp500:hca,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HCA
yfinance,HD,aios:bounded:sp500:hd,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HD
yfinance,HIG,aios:bounded:sp500:hig,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HIG
yfinance,HII,aios:bounded:sp500:hii,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HII
yfinance,HLT,aios:bounded:sp500:hlt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HLT
yfinance,HON,aios:bounded:sp500:hon,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HON
yfinance,HPE,aios:bounded:sp500:hpe,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HPE
yfinance,HPQ,aios:bounded:sp500:hpq,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HPQ
yfinance,HRL,aios:bounded:sp500:hrl,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HRL
yfinance,HSIC,aios:bounded:sp500:hsic,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HSIC
yfinance,HST,aios:bounded:sp500:hst,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HST
yfinance,HSY,aios:bounded:sp500:hsy,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HSY
yfinance,HUM,aios:bounded:sp500:hum,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HUM
yfinance,HWM,aios:bounded:sp500:hwm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/HWM
yfinance,IBM,aios:bounded:sp500:ibm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IBM
yfinance,ICE,aios:bounded:sp500:ice,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ICE
yfinance,IDXX,aios:bounded:sp500:idxx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IDXX
yfinance,IEX,aios:bounded:sp500:iex,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IEX
