security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:iff,aios:issuer:sec:0000051253,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000051253.json
aios:bounded:sp500:incy,aios:issuer:sec:0000879169,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000879169.json
aios:bounded:sp500:intc,aios:issuer:sec:0000050863,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000050863.json
aios:bounded:sp500:intu,aios:issuer:sec:0000896878,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000896878.json
aios:bounded:sp500:invh,aios:issuer:sec:0001687229,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001687229.json
aios:bounded:sp500:ip,aios:issuer:sec:0000051434,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000051434.json
aios:bounded:sp500:iqv,aios:issuer:sec:0001478242,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001478242.json
aios:bounded:sp500:ir,aios:issuer:sec:0001699150,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001699150.json
aios:bounded:sp500:irm,aios:issuer:sec:0001020569,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001020569.json
aios:bounded:sp500:isrg,aios:issuer:sec:0001035267,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001035267.json
aios:bounded:sp500:it,aios:issuer:sec:0000749251,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000749251.json
aios:bounded:sp500:itw,aios:issuer:sec:0000049826,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000049826.json
aios:bounded:sp500:ivz,aios:issuer:sec:0000914208,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000914208.json
aios:bounded:sp500:j,aios:issuer:sec:0000052988,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000052988.json
aios:bounded:sp500:jbht,aios:issuer:sec:0000728535,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000728535.json
aios:bounded:sp500:jci,aios:issuer:sec:0000833444,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000833444.json
aios:bounded:sp500:jkhy,aios:issuer:sec:0000779152,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000779152.json
aios:bounded:sp500:jnj,aios:issuer:sec:0000200406,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000200406.json
aios:bounded:sp500:jpm,aios:issuer:sec:0000019617,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000019617.json
aios:bounded:sp500:kdp,aios:issuer:sec:0001418135,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001418135.json
aios:bounded:sp500:key,aios:issuer:sec:0000091576,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000091576.json
aios:bounded:sp500:keys,aios:issuer:sec:0001601046,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001601046.json
