ticker,start,end
AZO,2025-01-01,2026-07-22
BA,2025-01-01,2026-07-22
BAC,2025-01-01,2026-07-22
BALL,2025-01-01,2026-07-22
BAX,2025-01-01,2026-07-22
BBY,2025-01-01,2026-07-22
BDX,2025-01-01,2026-07-22
BEN,2025-01-01,2026-07-22
BF.B,2025-01-01,2026-07-22
BG,2025-01-01,2026-07-22
BIIB,2025-01-01,2026-07-22
BKNG,2025-01-01,2026-07-22
BKR,2025-01-01,2026-07-22
BLDR,2025-01-01,2026-07-22
BLK,2025-01-01,2026-07-22
BMY,2025-01-01,2026-07-22
BNY,2026-05-21,2026-07-22
BR,2025-01-01,2026-07-22
BRK.B,2025-01-01,2026-07-22
BRO,2025-01-01,2026-07-22
BSX,2025-01-01,2026-07-22
BX,2025-01-01,2026-07-22
BXP,2025-01-01,2026-07-22
C,2025-01-01,2026-07-22
CAH,2025-01-01,2026-07-22
