issuer_id,canonical_name,canonical_ticker,cik,effective_start,effective_end,verified_date,source
aios:issuer:sec:0001858681,"Apollo Global Management, Inc.",APO,0001858681,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001858681.json
aios:issuer:sec:0001751008,AppLovin Corp,APP,0001751008,2025-09-22,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001751008.json
aios:issuer:sec:0001521332,Aptiv PLC,APTV,0001521332,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001521332.json
aios:issuer:sec:0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,0001035443,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001035443.json
aios:issuer:sec:0001176948,Ares Management Corp,ARES,0001176948,2025-12-11,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001176948.json
aios:issuer:sec:0000731802,ATMOS ENERGY CORP,ATO,0000731802,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000731802.json
aios:issuer:sec:0000915912,AVALONBAY COMMUNITIES INC,AVB,0000915912,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000915912.json
aios:issuer:sec:0001730168,Broadcom Inc.,AVGO,0001730168,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001730168.json
aios:issuer:sec:0000008818,Avery Dennison Corp,AVY,0000008818,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000008818.json
aios:issuer:sec:0001410636,"American Water Works Company, Inc.",AWK,0001410636,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001410636.json
aios:issuer:sec:0001069183,"AXON ENTERPRISE, INC.",AXON,0001069183,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001069183.json
aios:issuer:sec:0000004962,AMERICAN EXPRESS CO,AXP,0000004962,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000004962.json
aios:issuer:sec:0000866787,AUTOZONE INC,AZO,0000866787,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000866787.json
aios:issuer:sec:0000012927,BOEING CO,BA,0000012927,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000012927.json
aios:issuer:sec:0000070858,BANK OF AMERICA CORP /DE/,BAC,0000070858,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000070858.json
aios:issuer:sec:0000009389,BALL Corp,BALL,0000009389,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000009389.json
aios:issuer:sec:0000010456,BAXTER INTERNATIONAL INC,BAX,0000010456,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000010456.json
aios:issuer:sec:0000764478,BEST BUY CO INC,BBY,0000764478,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000764478.json
aios:issuer:sec:0000010795,BECTON DICKINSON & CO,BDX,0000010795,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000010795.json
aios:issuer:sec:0000038777,FRANKLIN RESOURCES INC,BEN,0000038777,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000038777.json
aios:issuer:sec:0000014693,BROWN FORMAN CORP,BF-A,0000014693,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000014693.json
aios:issuer:sec:0001996862,Bunge Global SA,BG,0001996862,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001996862.json
aios:issuer:sec:0000875045,BIOGEN INC.,BIIB,0000875045,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000875045.json
aios:issuer:sec:0001075531,Booking Holdings Inc.,BKNG,0001075531,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001075531.json
aios:issuer:sec:0001701605,Baker Hughes Co,BKR,0001701605,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001701605.json
aios:issuer:sec:0001316835,"Builders FirstSource, Inc.",BLDR,0001316835,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001316835.json
aios:issuer:sec:0002012383,"BlackRock, Inc.",BLK,0002012383,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0002012383.json
aios:issuer:sec:0000014272,BRISTOL MYERS SQUIBB CO,BMY,0000014272,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000014272.json
aios:issuer:sec:0001390777,Bank of New York Mellon Corp,BNY,0001390777,2026-05-21,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001390777.json
aios:issuer:sec:0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,0001383312,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001383312.json
aios:issuer:sec:0001067983,BERKSHIRE HATHAWAY INC,BRK-B,0001067983,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001067983.json
aios:issuer:sec:0000079282,"BROWN & BROWN, INC.",BRO,0000079282,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000079282.json
aios:issuer:sec:0000885725,BOSTON SCIENTIFIC CORP,BSX,0000885725,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000885725.json
aios:issuer:sec:0001393818,Blackstone Inc.,BX,0001393818,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001393818.json
aios:issuer:sec:0001037540,"BXP, Inc.",BXP,0001037540,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001037540.json
aios:issuer:sec:0000831001,CITIGROUP INC,C,0000831001,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000831001.json
aios:issuer:sec:0000721371,CARDINAL HEALTH INC,CAH,0000721371,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000721371.json
aios:issuer:sec:0001783180,CARRIER GLOBAL Corp,CARR,0001783180,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001783180.json
aios:issuer:sec:0000726958,CASEYS GENERAL STORES INC,CASY,0000726958,2026-04-09,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000726958.json
aios:issuer:sec:0000018230,CATERPILLAR INC,CAT,0000018230,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000018230.json
aios:issuer:sec:0000896159,Chubb Ltd,CB,0000896159,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000896159.json
aios:issuer:sec:0001374310,"Cboe Global Markets, Inc.",CBOE,0001374310,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001374310.json
aios:issuer:sec:0001138118,"CBRE GROUP, INC.",CBRE,0001138118,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001138118.json
aios:issuer:sec:0001051470,CROWN CASTLE INC.,CCI,0001051470,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001051470.json
aios:issuer:sec:0000815097,Carnival Corp Ltd.,CCL,0000815097,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000815097.json
aios:issuer:sec:0000813672,CADENCE DESIGN SYSTEMS INC,CDNS,0000813672,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000813672.json
aios:issuer:sec:0001402057,CDW Corp,CDW,0001402057,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001402057.json
aios:issuer:sec:0001868275,Constellation Energy Corp,CEG,0001868275,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001868275.json
aios:issuer:sec:0001324404,"CF Industries Holdings, Inc.",CF,0001324404,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001324404.json
aios:issuer:sec:0000759944,CITIZENS FINANCIAL GROUP INC/RI,CFG,0000759944,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000759944.json
aios:issuer:sec:0000313927,CHURCH & DWIGHT CO INC /DE/,CHD,0000313927,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000313927.json
aios:issuer:sec:0001043277,"C. H. ROBINSON WORLDWIDE, INC.",CHRW,0001043277,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001043277.json
aios:issuer:sec:0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,0001091667,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001091667.json
aios:issuer:sec:0001739940,Cigna Group,CI,0001739940,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001739940.json
aios:issuer:sec:0000936395,CIENA CORP,CIEN,0000936395,2026-02-09,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000936395.json
aios:issuer:sec:0000020286,CINCINNATI FINANCIAL CORP,CINF,0000020286,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000020286.json
aios:issuer:sec:0000021665,COLGATE PALMOLIVE CO,CL,0000021665,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000021665.json
aios:issuer:sec:0000021076,CLOROX CO /DE/,CLX,0000021076,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000021076.json
aios:issuer:sec:0001166691,COMCAST CORP,CMCSA,0001166691,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001166691.json
aios:issuer:sec:0001156375,CME GROUP INC.,CME,0001156375,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001156375.json
aios:issuer:sec:0001058090,CHIPOTLE MEXICAN GRILL INC,CMG,0001058090,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001058090.json
aios:issuer:sec:0000026172,CUMMINS INC,CMI,0000026172,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000026172.json
aios:issuer:sec:0000811156,CMS ENERGY CORP,CMS,0000811156,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000811156.json
aios:issuer:sec:0001071739,CENTENE CORP,CNC,0001071739,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001071739.json
aios:issuer:sec:0001130310,CENTERPOINT ENERGY INC,CNP,0001130310,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001130310.json
aios:issuer:sec:0000927628,CAPITAL ONE FINANCIAL CORP,COF,0000927628,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000927628.json
aios:issuer:sec:0000820318,COHERENT CORP.,COHR,0000820318,2026-03-23,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000820318.json
aios:issuer:sec:0001679788,"Coinbase Global, Inc.",COIN,0001679788,2025-05-19,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001679788.json
aios:issuer:sec:0000711404,"COOPER COMPANIES, INC.",COO,0000711404,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000711404.json
aios:issuer:sec:0001163165,CONOCOPHILLIPS,COP,0001163165,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001163165.json
aios:issuer:sec:0001140859,"Cencora, Inc.",COR,0001140859,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001140859.json
aios:issuer:sec:0000909832,COSTCO WHOLESALE CORP /NEW,COST,0000909832,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000909832.json
aios:issuer:sec:0001175454,"CORPAY, INC.",CPAY,0001175454,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001175454.json
aios:issuer:sec:0000900075,COPART INC,CPRT,0000900075,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000900075.json
aios:issuer:sec:0000906345,CAMDEN PROPERTY TRUST,CPT,0000906345,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000906345.json
aios:issuer:sec:0000849395,CRH PUBLIC LTD CO,CRH,0000849395,2025-12-22,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000849395.json
aios:issuer:sec:0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CRL,0001100682,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001100682.json
