provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
tiingo,ATVI,aios:bounded:sp500:atvi,2023-08-01,2023-10-18,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/ATVI
tiingo,CMA,aios:bounded:sp500:cma,2023-08-01,2024-06-24,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/CMA
tiingo,CTLT,aios:bounded:sp500:ctlt,2023-08-01,2024-12-23,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/CTLT
tiingo,MRO,aios:bounded:sp500:mro,2023-08-01,2024-11-26,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/MRO
tiingo,PXD,aios:bounded:sp500:pxd,2023-08-01,2024-05-08,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/PXD
tiingo,SEE,aios:bounded:sp500:see,2023-08-01,2023-12-18,verified,2026-07-18,https://api.tiingo.com/tiingo/daily/SEE
