universe_id,index_name,ticker,effective_date,action,known_date,source,source_kind
sp500,S&P 500,BBWI,2024-10-01,Deletion,2024-09-24,https://press.spglobal.com/2024-09-24-Amentum-Set-to-Join-S-P-500-Bath-Body-Works-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,TPL,2024-11-26,Addition,2024-11-21,https://press.spglobal.com/2024-11-21-Texas-Pacific-Land-Set-to-Join-S-P-500%2C-Mueller-Industries-to-Join-S-P-MidCap-400-and-Atlas-Energy-Solutions-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,MRO,2024-11-26,Deletion,2024-11-21,https://press.spglobal.com/2024-11-21-Texas-Pacific-Land-Set-to-Join-S-P-500%2C-Mueller-Industries-to-Join-S-P-MidCap-400-and-Atlas-Energy-Solutions-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,KVUE,2023-08-25,Addition,2023-08-21,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600
sp500,S&P 500,AAP,2023-08-25,Deletion,2023-08-21,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600
sp500,S&P 500,UBER,2023-12-18,Addition,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,JBL,2023-12-18,Addition,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,BLDR,2023-12-18,Addition,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,SEE,2023-12-18,Deletion,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,ALK,2023-12-18,Deletion,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,SEDG,2023-12-18,Deletion,2023-12-01,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,SMCI,2024-03-18,Addition,2024-03-01,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,DECK,2024-03-18,Addition,2024-03-01,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,WHR,2024-03-18,Deletion,2024-03-01,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,ZION,2024-03-18,Deletion,2024-03-01,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,CRWD,2024-06-24,Addition,2024-06-07,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,KKR,2024-06-24,Addition,2024-06-07,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,GDDY,2024-06-24,Addition,2024-06-07,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
sp500,S&P 500,RHI,2024-06-24,Deletion,2024-06-07,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600
