ticker,start,end
HII,2025-01-01,2026-07-22
HLT,2025-01-01,2026-07-22
HON,2025-01-01,2026-07-22
HONA,2026-06-29,2026-07-22
HOOD,2025-09-22,2026-07-22
HPE,2025-01-01,2026-07-22
HPQ,2025-01-01,2026-07-22
HRL,2025-01-01,2026-07-22
HSIC,2025-01-01,2026-07-22
HST,2025-01-01,2026-07-22
HSY,2025-01-01,2026-07-22
HUBB,2025-01-01,2026-07-22
HUM,2025-01-01,2026-07-22
HWM,2025-01-01,2026-07-22
IBKR,2025-08-28,2026-07-22
IBM,2025-01-01,2026-07-22
ICE,2025-01-01,2026-07-22
IDXX,2025-01-01,2026-07-22
IEX,2025-01-01,2026-07-22
IFF,2025-01-01,2026-07-22
INCY,2025-01-01,2026-07-22
INTC,2025-01-01,2026-07-22
INTU,2025-01-01,2026-07-22
INVH,2025-01-01,2026-07-22
IP,2025-01-01,2026-07-22
