ticker,security_id,issuer_id,cik,sec_name,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
ABBV,aios:bounded:sp500:abbv,aios:issuer:sec:0001551152,0001551152,AbbVie Inc.,2023-08-01,2025-01-01,yfinance,ABBV,358,2023-08-01,2024-12-31,1d691c53389db95ed848e79d0109b177df55f5e6030b86085c797b348764d24b,d6f2277a8fa14772fa3ed9eb91e0b2eaa2594d4d7f7a4e166a24683579eddad8,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001551152.json,https://query1.finance.yahoo.com/v8/finance/chart/ABBV
ABT,aios:bounded:sp500:abt,aios:issuer:sec:0000001800,0000001800,ABBOTT LABORATORIES,2023-08-01,2025-01-01,yfinance,ABT,358,2023-08-01,2024-12-31,44222324e316f37205d818735415ec5d4a5d1b5b5974ce996ce0d765bf51d0a1,dc85ae44c92909461f6bb2bfc2518b89ad8033ff1d8fba79b79c3de2765a86e6,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000001800.json,https://query1.finance.yahoo.com/v8/finance/chart/ABT
ACN,aios:bounded:sp500:acn,aios:issuer:sec:0001467373,0001467373,Accenture plc,2023-08-01,2025-01-01,yfinance,ACN,358,2023-08-01,2024-12-31,89d87691ca974cdc97e671f4d47ed6637fde32794a0b6a0b746d4d797db4e125,127cc6e380ab158d3c2253501fa045ee147d5def48a38331061682aae74c3f47,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001467373.json,https://query1.finance.yahoo.com/v8/finance/chart/ACN
ADBE,aios:bounded:sp500:adbe,aios:issuer:sec:0000796343,0000796343,ADOBE INC.,2023-08-01,2025-01-01,yfinance,ADBE,358,2023-08-01,2024-12-31,b4424f162e44c0fa9e79a3651a23b02ee47994911179d78cb2436ee931a79fef,f3774771eb7b326e4f3c628f9c59cf18e202631a8a07c17c0f78d8c1c09cd826,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000796343.json,https://query1.finance.yahoo.com/v8/finance/chart/ADBE
ADI,aios:bounded:sp500:adi,aios:issuer:sec:0000006281,0000006281,ANALOG DEVICES INC,2023-08-01,2025-01-01,yfinance,ADI,358,2023-08-01,2024-12-31,c1c947a8d9bd2e6d976a10376c75191e746c349458dddb4d2eae8efb519dc22b,a1bf9ca084b97aa8fae2f0fc97ca5874e469c5e3f69dd31811258ed81f7bbbbe,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000006281.json,https://query1.finance.yahoo.com/v8/finance/chart/ADI
ADM,aios:bounded:sp500:adm,aios:issuer:sec:0000007084,0000007084,Archer-Daniels-Midland Co,2023-08-01,2025-01-01,yfinance,ADM,358,2023-08-01,2024-12-31,45010242432e45255ec20f1a749e5d1952b9cca542ec16e1bfde2e93ca9ff369,3e1ea7f32a6cd81f48597ec55105c6823075e9365ef545461058177e96345a78,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000007084.json,https://query1.finance.yahoo.com/v8/finance/chart/ADM
ADP,aios:bounded:sp500:adp,aios:issuer:sec:0000008670,0000008670,AUTOMATIC DATA PROCESSING INC,2023-08-01,2025-01-01,yfinance,ADP,358,2023-08-01,2024-12-31,732fa8f38e24d71e72552e8d0cfbeba256f3417e1456d914a2145b882dc6d552,875d540a5c8b05ea279d67680826447470ac0b44a1cb56c24212ed66b83a6969,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000008670.json,https://query1.finance.yahoo.com/v8/finance/chart/ADP
ADSK,aios:bounded:sp500:adsk,aios:issuer:sec:0000769397,0000769397,"Autodesk, Inc.",2023-08-01,2025-01-01,yfinance,ADSK,358,2023-08-01,2024-12-31,1f90bb23f6b7a058f469de35cdac4935c2c2619666950b26366178f9c9dca700,c53f1d579d5b04396eefb69c81a910ca1077a88fa7a50057a1f9422a61bf06f7,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000769397.json,https://query1.finance.yahoo.com/v8/finance/chart/ADSK
AEE,aios:bounded:sp500:aee,aios:issuer:sec:0001002910,0001002910,AMEREN CORP,2023-08-01,2025-01-01,yfinance,AEE,358,2023-08-01,2024-12-31,484f95d3e3c5895c1c1c8b3dd1747ef98d9bbcafd8f17b957f3d03e974e28f29,c229e79d5d8f673fdefcc2da1a06fb842ee505ab40cd87997b014475cb214340,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001002910.json,https://query1.finance.yahoo.com/v8/finance/chart/AEE
AEP,aios:bounded:sp500:aep,aios:issuer:sec:0000004904,0000004904,AMERICAN ELECTRIC POWER CO INC,2023-08-01,2025-01-01,yfinance,AEP,358,2023-08-01,2024-12-31,d3a9310c0a98796cfc1107030dc35cc4a8e2c2049c6d6d24bbd684410d2d7468,94b73c475f330f6dd2b2edd1bb229a16bd528bedb0d2d5fb078619c023e13147,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000004904.json,https://query1.finance.yahoo.com/v8/finance/chart/AEP
