ticker,start,end
SBAC,2025-01-01,2026-07-22
SBUX,2025-01-01,2026-07-22
SCHW,2025-01-01,2026-07-22
SHW,2025-01-01,2026-07-22
SJM,2025-01-01,2026-07-22
SLB,2025-01-01,2026-07-22
SMCI,2025-01-01,2026-07-22
SNA,2025-01-01,2026-07-22
SNDK,2025-11-28,2026-07-22
SNPS,2025-01-01,2026-07-22
SO,2025-01-01,2026-07-22
SOLV,2025-01-01,2026-07-22
SPG,2025-01-01,2026-07-22
SPGI,2025-01-01,2026-07-22
SRE,2025-01-01,2026-07-22
STE,2025-01-01,2026-07-22
STLD,2025-01-01,2026-07-22
STT,2025-01-01,2026-07-22
STX,2025-01-01,2026-07-22
STZ,2025-01-01,2026-07-22
SW,2025-01-01,2026-07-22
SWK,2025-01-01,2026-07-22
SWKS,2025-01-01,2026-07-22
SYF,2025-01-01,2026-07-22
SYK,2025-01-01,2026-07-22
