ticker,start,end
ON,2025-01-01,2026-07-22
ORCL,2025-01-01,2026-07-22
ORLY,2025-01-01,2026-07-22
OTIS,2025-01-01,2026-07-22
OXY,2025-01-01,2026-07-22
PANW,2025-01-01,2026-07-22
PAYX,2025-01-01,2026-07-22
PCAR,2025-01-01,2026-07-22
PCG,2025-01-01,2026-07-22
PEG,2025-01-01,2026-07-22
PEP,2025-01-01,2026-07-22
PFE,2025-01-01,2026-07-22
PFG,2025-01-01,2026-07-22
PG,2025-01-01,2026-07-22
PGR,2025-01-01,2026-07-22
PH,2025-01-01,2026-07-22
PHM,2025-01-01,2026-07-22
PKG,2025-01-01,2026-07-22
PLD,2025-01-01,2026-07-22
PLTR,2025-01-01,2026-07-22
PM,2025-01-01,2026-07-22
PNC,2025-01-01,2026-07-22
PNR,2025-01-01,2026-07-22
PNW,2025-01-01,2026-07-22
PODD,2025-01-01,2026-07-22
