provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,IFF,aios:bounded:sp500:iff,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IFF
yfinance,INCY,aios:bounded:sp500:incy,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/INCY
yfinance,INTC,aios:bounded:sp500:intc,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/INTC
yfinance,INTU,aios:bounded:sp500:intu,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/INTU
yfinance,INVH,aios:bounded:sp500:invh,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/INVH
yfinance,IP,aios:bounded:sp500:ip,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IP
yfinance,IQV,aios:bounded:sp500:iqv,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IQV
yfinance,IR,aios:bounded:sp500:ir,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IR
yfinance,IRM,aios:bounded:sp500:irm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IRM
yfinance,ISRG,aios:bounded:sp500:isrg,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ISRG
yfinance,IT,aios:bounded:sp500:it,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IT
yfinance,ITW,aios:bounded:sp500:itw,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/ITW
yfinance,IVZ,aios:bounded:sp500:ivz,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/IVZ
yfinance,J,aios:bounded:sp500:j,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/J
yfinance,JBHT,aios:bounded:sp500:jbht,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/JBHT
yfinance,JCI,aios:bounded:sp500:jci,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/JCI
yfinance,JKHY,aios:bounded:sp500:jkhy,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/JKHY
yfinance,JNJ,aios:bounded:sp500:jnj,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/JNJ
yfinance,JPM,aios:bounded:sp500:jpm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/JPM
yfinance,KDP,aios:bounded:sp500:kdp,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/KDP
yfinance,KEY,aios:bounded:sp500:key,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/KEY
yfinance,KEYS,aios:bounded:sp500:keys,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/KEYS
