security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:khc,aios:issuer:sec:0001637459,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001637459.json
aios:bounded:sp500:kim,aios:issuer:sec:0000879101,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000879101.json
aios:bounded:sp500:klac,aios:issuer:sec:0000319201,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000319201.json
aios:bounded:sp500:kmb,aios:issuer:sec:0000055785,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000055785.json
aios:bounded:sp500:kmi,aios:issuer:sec:0001506307,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001506307.json
aios:bounded:sp500:kmx,aios:issuer:sec:0001170010,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001170010.json
aios:bounded:sp500:ko,aios:issuer:sec:0000021344,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000021344.json
aios:bounded:sp500:kr,aios:issuer:sec:0000056873,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000056873.json
aios:bounded:sp500:l,aios:issuer:sec:0000060086,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000060086.json
aios:bounded:sp500:ldos,aios:issuer:sec:0001336920,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001336920.json
aios:bounded:sp500:len,aios:issuer:sec:0000920760,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000920760.json
aios:bounded:sp500:lh,aios:issuer:sec:0000920148,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000920148.json
aios:bounded:sp500:lhx,aios:issuer:sec:0000202058,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000202058.json
aios:bounded:sp500:lin,aios:issuer:sec:0001707925,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001707925.json
aios:bounded:sp500:lkq,aios:issuer:sec:0001065696,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001065696.json
aios:bounded:sp500:lly,aios:issuer:sec:0000059478,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000059478.json
aios:bounded:sp500:lmt,aios:issuer:sec:0000936468,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000936468.json
aios:bounded:sp500:lnt,aios:issuer:sec:0000352541,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000352541.json
aios:bounded:sp500:low,aios:issuer:sec:0000060667,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000060667.json
aios:bounded:sp500:lrcx,aios:issuer:sec:0000707549,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000707549.json
aios:bounded:sp500:luv,aios:issuer:sec:0000092380,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000092380.json
aios:bounded:sp500:lvs,aios:issuer:sec:0001300514,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001300514.json
aios:bounded:sp500:lw,aios:issuer:sec:0001679273,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001679273.json
aios:bounded:sp500:lyb,aios:issuer:sec:0001489393,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001489393.json
aios:bounded:sp500:lyv,aios:issuer:sec:0001335258,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001335258.json
