ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
STZ,aios:bounded:sp500:stz,aios:issuer:sec:0000016918,0000016918,"CONSTELLATION BRANDS, INC.",STZ,2023-08-01,2025-01-01,yfinance,STZ,358,2023-08-01,2024-12-31,766a775d6040a980b078bff50a234199ad7ef8ac8a32f6313264c64e7c63fc19,,8692009e323a80dd4ec5da5b4c9ad7c82727977546eea36f770aca68dd4aeafc,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000016918.json,https://query1.finance.yahoo.com/v8/finance/chart/STZ
SWK,aios:bounded:sp500:swk,aios:issuer:sec:0000093556,0000093556,"STANLEY BLACK & DECKER, INC.",SWK,2023-08-01,2025-01-01,yfinance,SWK,358,2023-08-01,2024-12-31,ac43b393becddbe4c45568e5c944da2cb93fa7bac481705aa388afda8b655824,,a1c6a87d171320f6c32f560419bf95cdd5db39a41754046291c284110f65f475,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000093556.json,https://query1.finance.yahoo.com/v8/finance/chart/SWK
SWKS,aios:bounded:sp500:swks,aios:issuer:sec:0000004127,0000004127,"SKYWORKS SOLUTIONS, INC.",SWKS,2023-08-01,2025-01-01,yfinance,SWKS,358,2023-08-01,2024-12-31,862c09387f9874ff362f5f3a1581a26276e8e8bad41db7cc92e39a94583e850a,,90a39f018f393c035e521f841bee1b979260f9b74c667bdd1bd0ea74283a9e8c,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000004127.json,https://query1.finance.yahoo.com/v8/finance/chart/SWKS
SYF,aios:bounded:sp500:syf,aios:issuer:sec:0001601712,0001601712,Synchrony Financial,SYF,2023-08-01,2025-01-01,yfinance,SYF,358,2023-08-01,2024-12-31,150159a3f4fce2466147e2394f4fbc163b39b0ccd49b6a2593c6682f003da655,,2d02c046e78ec1fa65bb3b7a5324389f671c3e4f9bae501e4363c2dfe9966e9c,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001601712.json,https://query1.finance.yahoo.com/v8/finance/chart/SYF
SYK,aios:bounded:sp500:syk,aios:issuer:sec:0000310764,0000310764,STRYKER CORP,SYK,2023-08-01,2025-01-01,yfinance,SYK,358,2023-08-01,2024-12-31,3d53a1900bfba1ba95fdaa4cb0c474baf66b25a62fab15f33ed98439c7e54ef0,,0ac4b1a891ec3833e5fa4227706c4509760f322b7fc10832ec671122df493c8d,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000310764.json,https://query1.finance.yahoo.com/v8/finance/chart/SYK
SYY,aios:bounded:sp500:syy,aios:issuer:sec:0000096021,0000096021,SYSCO CORP,SYY,2023-08-01,2025-01-01,yfinance,SYY,358,2023-08-01,2024-12-31,10b3337a7eab7ed53cd20260a757cc880e985ae41c97a3e120289aa6e683b67c,,d9a1e68bda045fc8a2885c8c03b49aa3381d405d46b86e4c610acac08d512b6b,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000096021.json,https://query1.finance.yahoo.com/v8/finance/chart/SYY
T,aios:bounded:sp500:t,aios:issuer:sec:0000732717,0000732717,AT&T INC.,T,2023-08-01,2025-01-01,yfinance,T,358,2023-08-01,2024-12-31,d90efa1de0085e2d2f8f384daedfdbf71bd09bdfd284fcf7f7f6ff2ee5c6e64c,,6448c280b3e955b71e976bc477aef47fedbf12841ef023a7428b3ba4fb6f06cf,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000732717.json,https://query1.finance.yahoo.com/v8/finance/chart/T
TAP,aios:bounded:sp500:tap,aios:issuer:sec:0000024545,0000024545,MOLSON COORS BEVERAGE CO,TAP,2023-08-01,2025-01-01,yfinance,TAP,358,2023-08-01,2024-12-31,204d0f8e9509ee808f09f66c07ca82d32749774427cf5957b83dbe2db3fbbc66,,0c5b1093900db63a745c0a8dd041659954f148c5150a755d0126475e08d8d6db,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000024545.json,https://query1.finance.yahoo.com/v8/finance/chart/TAP
TDG,aios:bounded:sp500:tdg,aios:issuer:sec:0001260221,0001260221,TransDigm Group INC,TDG,2023-08-01,2025-01-01,yfinance,TDG,358,2023-08-01,2024-12-31,e9fee1f2c26c252270e4baa5c3e6e8b03df05f6e092035b2a29cfee9d4a9c48f,,c923e0c632bf682b6169defb399a5ed684a8f28dcce8de3e1f0b08cb0c8dc1ae,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001260221.json,https://query1.finance.yahoo.com/v8/finance/chart/TDG
TDY,aios:bounded:sp500:tdy,aios:issuer:sec:0001094285,0001094285,TELEDYNE TECHNOLOGIES INC,TDY,2023-08-01,2025-01-01,yfinance,TDY,358,2023-08-01,2024-12-31,4af6580a541080315cc39753dbc71abf41a9e3a5280f86cfbf542426d3192f9b,,50fefd57921de47d578457d0d2443f930c25980bd98ed5633eeaa0ff39d5c31a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001094285.json,https://query1.finance.yahoo.com/v8/finance/chart/TDY
